file,lat,lon,altBaro,roll,pitch,yaw,time,altGPS,alt
2022_09_27_B09_g201b20035_f009_003.JPG,62.54508,150.8531737,543.789,5.09,-0.1,-67.02,2022-09-27 01:08:40.352377,539.722,541.7555
2022_09_27_B09_g201b20035_f009_004.JPG,62.5451764,150.8526197,541.577,0.12,2.54,-70.67,2022-09-27 01:08:41.732424,536.862,539.2194999999999
2022_09_27_B09_g201b20035_f009_005.JPG,62.5452711,150.8520463,540.071,-5.41,7.64,-69.35,2022-09-27 01:08:43.132377,534.781,537.4259999999999
2022_09_27_B09_g201b20035_f009_006.JPG,62.5453745,150.8514824,539.63,3.67,8.07,-68.51,2022-09-27 01:08:44.532433,534.739,537.1845000000001
2022_09_27_B09_g201b20035_f009_007.JPG,62.5454681,150.850919,539.099,-6.87,4.41,-70.89,2022-09-27 01:08:45.932510,534.327,536.713
2022_09_27_B09_g201b20035_f009_008.JPG,62.5455701,150.8503471,537.859,-0.26,6.5,-68.39,2022-09-27 01:08:47.352383,533.61,535.7345
2022_09_27_B09_g201b20035_f009_009.JPG,62.5456707,150.8497644,537.77,-2.76,7.21,-70.57,2022-09-27 01:08:48.732520,532.85,535.31
2022_09_27_B09_g201b20035_f009_010.JPG,62.5457686,150.8491752,537.418,-4.02,11.15,-69.98,2022-09-27 01:08:50.132549,532.405,534.9114999999999
2022_09_27_B09_g201b20035_f009_011.JPG,62.5458719,150.848601,537.064,3.32,9.94,-67.87,2022-09-27 01:08:51.532601,532.39,534.727
2022_09_27_B09_g201b20035_f009_012.JPG,62.5459704,150.8480212,538.213,-0.96,8.64,-71.04,2022-09-27 01:08:52.952539,532.283,535.248
2022_09_27_B09_g201b20035_f009_013.JPG,62.546064,150.8474313,539.363,-7.37,10.29,-69.9,2022-09-27 01:08:54.352545,533.567,536.465
2022_09_27_B09_g201b20035_f009_014.JPG,62.5461689,150.8468681,542.462,3.3,12.76,-67.51,2022-09-27 01:08:55.732631,536.711,539.5865
2022_09_27_B09_g201b20035_f009_015.JPG,62.5462651,150.8463236,545.028,-1.12,7.93,-69.82,2022-09-27 01:08:57.132614,539.1,542.0640000000001
2022_09_27_B09_g201b20035_f009_016.JPG,62.5463556,150.8457878,545.736,-3.22,3.43,-69.57,2022-09-27 01:08:58.532683,539.845,542.7905000000001
2022_09_27_B09_g201b20035_f009_017.JPG,62.5464489,150.8452589,546.18,0.47,5.5,-69.01,2022-09-27 01:08:59.932655,540.48,543.3299999999999
2022_09_27_B09_g201b20035_f009_018.JPG,62.5465395,150.8447245,546.534,-0.66,4.11,-69.97,2022-09-27 01:09:01.352658,540.498,543.5160000000001
2022_09_27_B09_g201b20035_f009_019.JPG,62.5466318,150.844185,545.736,-1.66,4.3,-68.9,2022-09-27 01:09:02.732718,539.841,542.7885
2022_09_27_B09_g201b20035_f009_020.JPG,62.5467273,150.8436388,544.056,-3.08,3.97,-69.23,2022-09-27 01:09:04.132798,537.918,540.9870000000001
2022_09_27_B09_g201b20035_f009_021.JPG,62.5468255,150.8430771,542.372,-0.42,4.65,-69.23,2022-09-27 01:09:05.532779,535.883,539.1275
